year,month,motiie,kashiya,bunjou
1986,2,35215 ,40867 ,18953 
1986,3,41101 ,43325 ,20301 
1986,4,46704 ,47344 ,19603 
1986,5,40054 ,46736 ,16754 
1986,6,47534 ,52178 ,16087 
1986,7,46672 ,54783 ,18075 
1986,8,40180 ,53068 ,18187 
1986,9,41148 ,61043 ,18379 
1986,10,39779 ,66131 ,18589 
1986,11,35605 ,68214 ,19702 
1986,12,36509 ,71570 ,19178 
1987,1,26529 ,51131 ,14721 
1987,2,35974 ,51829 ,20455 
1987,3,43132 ,55399 ,19891 
1987,4,51986 ,64457 ,20125 
1987,5,45582 ,63961 ,19112 
1987,6,51881 ,75731 ,21685 
1987,7,53626 ,78505 ,20135 
1987,8,47401 ,78836 ,20171 
1987,9,48166 ,82393 ,22359 
1987,10,49541 ,87514 ,21143 
1987,11,47058 ,84004 ,23709 
1987,12,45440 ,84966 ,23355 
1988,1,33756 ,59449 ,16920 
1988,2,43713 ,60745 ,22188 
1988,3,44555 ,66643 ,24856 
1988,4,45267 ,68923 ,25352 
1988,5,39495 ,71607 ,23537 
1988,6,46961 ,78757 ,25192 
1988,7,47772 ,76153 ,25018 
1988,8,42826 ,78964 ,27651 
1988,9,42476 ,72693 ,26411 
1988,10,43987 ,77818 ,22661 
1988,11,39193 ,73405 ,24828 
1988,12,38659 ,73508 ,28697 
1989,1,28155 ,53046 ,19408 
1989,2,34981 ,55302 ,23670 
1989,3,46988 ,61922 ,26156 
1989,4,52500 ,64346 ,28302 
1989,5,44076 ,63374 ,26076 
1989,6,48668 ,71987 ,26900 
1989,7,48152 ,71371 ,26280 
1989,8,44262 ,72055 ,23769 
1989,9,42133 ,73963 ,25493 
1989,10,42435 ,76698 ,28686 
1989,11,37839 ,75307 ,27974 
1989,12,34039 ,77815 ,29291 
1990,1,27598 ,55313 ,24177 
1990,2,36008 ,56483 ,26419 
1990,3,41781 ,61995 ,28373 
1990,4,48341 ,67499 ,29355 
1990,5,48629 ,66739 ,28436 
1990,6,48923 ,75005 ,34883 
1990,7,46757 ,75104 ,33069 
1990,8,40423 ,66914 ,32579 
1990,9,39972 ,72962 ,35249 
1990,10,40879 ,73540 ,34337 
1990,11,33510 ,68540 ,33540 
1990,12,33706 ,66003 ,39183 
1991,1,28077 ,45009 ,28152 
1991,2,30698 ,46326 ,27151 
1991,3,34460 ,43605 ,30974 
1991,4,43382 ,46211 ,27748 
1991,5,38268 ,47438 ,24793 
1991,6,41695 ,50432 ,30260 
1991,7,44146 ,52011 ,24900 
1991,8,35315 ,48089 ,22989 
1991,9,36342 ,49193 ,21774 
1991,10,37974 ,50684 ,20948 
1991,11,36141 ,51657 ,21012 
1991,12,33560 ,53269 ,23778 
1992,1,27537 ,41468 ,15657 
1992,2,33783 ,44716 ,18303 
1992,3,39537 ,47068 ,20462 
1992,4,47034 ,50501 ,19920 
1992,5,41754 ,52556 ,16504 
1992,6,47054 ,60610 ,17698 
1992,7,46948 ,60975 ,18948 
1992,8,43199 ,61079 ,16802 
1992,9,39514 ,61983 ,18470 
1992,10,38639 ,66666 ,16157 
1992,11,37027 ,62803 ,17986 
1992,12,35585 ,61564 ,20220 
1993,1,27941 ,44143 ,14052 
1993,2,35581 ,50573 ,17600 
1993,3,41310 ,53324 ,22215 
1993,4,46101 ,52657 ,19524 
1993,5,41359 ,50379 ,19832 
1993,6,48840 ,59912 ,22410 
1993,7,53083 ,57972 ,23327 
1993,8,56096 ,57418 ,21006 
1993,9,53211 ,56339 ,24159 
1993,10,49432 ,60134 ,22244 
1993,11,39635 ,62073 ,26640 
1993,12,38445 ,58684 ,26372 
1994,1,31305 ,48185 ,24389 
1994,2,36885 ,44551 ,29072 
1994,3,42516 ,43259 ,31184 
1994,4,55772 ,45718 ,31670 
1994,5,53996 ,45531 ,28436 
1994,6,58490 ,53195 ,33136 
1994,7,62269 ,52092 ,28944 
1994,8,55483 ,50367 ,31578 
1994,9,40976 ,53017 ,35972 
1994,10,43762 ,54192 ,34745 
1994,11,49922 ,54622 ,30058 
1994,12,41797 ,51083 ,34452 
1995,1,32409 ,38722 ,27821 
1995,2,43601 ,38567 ,30262 
1995,3,42450 ,37045 ,30557 
1995,4,48939 ,42037 ,31223 
1995,5,44964 ,41163 ,27716 
1995,6,45863 ,45479 ,30979 
1995,7,50940 ,45823 ,29976 
1995,8,43744 ,47957 ,25138 
1995,9,42921 ,51956 ,28327 
1995,10,50335 ,51668 ,27275 
1995,11,45953 ,56040 ,32872 
1995,12,45561 ,57489 ,30505 
1996,1,39222 ,41905 ,24211 
1996,2,43202 ,39561 ,27403 
1996,3,48900 ,42574 ,29041 
1996,4,63647 ,45990 ,27670 
1996,5,54124 ,49767 ,29673 
1996,6,54349 ,51948 ,28250 
1996,7,67863 ,54595 ,31967 
1996,8,55177 ,50126 ,28485 
1996,9,53573 ,59780 ,31720 
1996,10,57507 ,67751 ,32046 
1996,11,57256 ,61862 ,29448 
1996,12,48726 ,56860 ,30090 
1997,1,40130 ,39571 ,23985 
1997,2,43765 ,37364 ,28004 
1997,3,40189 ,40572 ,30701 
1997,4,45936 ,44429 ,34155 
1997,5,48204 ,41545 ,30896 
1997,6,42549 ,45708 ,30349 
1997,7,40528 ,44670 ,26076 
1997,8,37555 ,43932 ,28438 
1997,9,33447 ,48943 ,30077 
1997,10,37194 ,49179 ,31707 
1997,11,34825 ,47784 ,30494 
1997,12,34419 ,47523 ,28554 
1998,1,28767 ,33098 ,25222 
1998,2,32058 ,34608 ,27219 
1998,3,35609 ,34419 ,27506 
1998,4,41170 ,38038 ,24953 
1998,5,39234 ,35977 ,26198 
1998,6,40185 ,40130 ,24928 
1998,7,39920 ,37833 ,21337 
1998,8,36155 ,38077 ,23647 
1998,9,33478 ,40864 ,23139 
1998,10,36439 ,44203 ,22144 
1998,11,34342 ,39519 ,21763 
1998,12,33595 ,40237 ,24971 
1999,1,26266 ,29881 ,20919 
1999,2,34954 ,28252 ,22651 
1999,3,42399 ,30896 ,25195 
1999,4,46310 ,36272 ,23268 
1999,5,46252 ,32281 ,21932 
1999,6,51931 ,36853 ,24565 
1999,7,42084 ,36728 ,22486 
1999,8,40836 ,38198 ,27601 
1999,9,37601 ,41243 ,28932 
1999,10,34644 ,39149 ,28790 
1999,11,35514 ,37827 ,30748 
1999,12,36211 ,36670 ,25630 
2000,1,33336 ,31497 ,25446 
2000,2,33418 ,29195 ,25538 
2000,3,37495 ,30107 ,27174 
2000,4,41536 ,35947 ,28798 
2000,5,39247 ,33926 ,26298 
2000,6,40179 ,39923 ,32152 
2000,7,38419 ,32773 ,29548 
2000,8,39065 ,35090 ,28351 
2000,9,38197 ,37253 ,29055 
2000,10,37336 ,38086 ,28852 
2000,11,37354 ,39973 ,28728 
2000,12,35940 ,37562 ,35351 
2001,1,27847 ,28981 ,23866 
2001,2,30076 ,27456 ,25211 
2001,3,32593 ,31230 ,30112 
2001,4,34971 ,35391 ,28336 
2001,5,33756 ,38159 ,27887 
2001,6,36216 ,37808 ,26395 
2001,7,34778 ,36975 ,30503 
2001,8,33000 ,39785 ,31158 
2001,9,32241 ,39084 ,29940 
2001,10,31520 ,41443 ,27895 
2001,11,31543 ,43623 ,29571 
2001,12,28273 ,38377 ,28091 
2002,1,23922 ,31564 ,28354 
2002,2,26401 ,29394 ,29281 
2002,3,30445 ,30647 ,26507 
2002,4,36104 ,36983 ,25150 
2002,5,34270 ,42730 ,28408 
2002,6,33896 ,39965 ,26952 
2002,7,33952 ,37583 ,23949 
2002,8,30171 ,38873 ,27683 
2002,9,30272 ,40973 ,25249 
2002,10,30601 ,42527 ,29611 
2002,11,30018 ,41609 ,26570 
2002,12,27922 ,37244 ,26228 
2003,1,23445 ,31631 ,26708 
2003,2,25936 ,31157 ,25264 
2003,3,28920 ,33230 ,24230 
2003,4,33804 ,37325 ,28226 
2003,5,33178 ,39221 ,24997 
2003,6,40997 ,45480 ,27964 
2003,7,33245 ,37262 ,27242 
2003,8,32200 ,34090 ,25620 
2003,9,33536 ,38435 ,25928 
2003,10,31535 ,41700 ,30399 
2003,11,28349 ,40930 ,28532 
2003,12,27507 ,41168 ,31529 
2004,1,23671 ,35038 ,29460 
2004,2,25081 ,32157 ,27140 
2004,3,29912 ,35902 ,26788 
2004,4,32640 ,35699 ,27226 
2004,5,32650 ,37837 ,27556 
2004,6,36168 ,40709 ,28921 
2004,7,35949 ,38494 ,31465 
2004,8,35580 ,39223 ,26435 
2004,9,33277 ,42362 ,31986 
2004,10,30130 ,43543 ,31711 
2004,11,27898 ,41987 ,28101 
2004,12,26896 ,42025 ,28712 
2005,1,23549 ,37977 ,32625 
2005,2,24619 ,34302 ,26012 
2005,3,27877 ,33190 ,28294 
2005,4,30842 ,38262 ,26885 
2005,5,31637 ,39576 ,30161 
2005,6,33381 ,44890 ,30367 
2005,7,32908 ,45148 ,35874 
2005,8,31699 ,45207 ,31389 
2005,9,30590 ,43745 ,32915 
2005,10,29797 ,49880 ,35203 
2005,11,29679 ,49119 ,31519 
2005,12,26689 ,42998 ,27823 
2006,1,23050 ,40337 ,29099 
2006,2,24923 ,39949 ,31602 
2006,3,27382 ,38888 ,27438 
2006,4,31648 ,43721 ,34963 
2006,5,33060 ,44744 ,30164 
2006,6,34125 ,47238 ,32012 
2006,7,32564 ,46553 ,26743 
2006,8,33624 ,44925 ,31694 
2006,9,32439 ,46733 ,32701 
2006,10,30144 ,52984 ,34195 
2006,11,28790 ,50754 ,35096 
2006,12,26770 ,46637 ,33474 
2007,1,23475 ,39868 ,28327 
2007,2,22983 ,34123 ,29623 
2007,3,26078 ,39663 ,33511 
2007,4,29577 ,41395 ,34652 
2007,5,28848 ,41264 ,25956 
2007,6,31695 ,53406 ,34627 
2007,7,24093 ,34763 ,21243 
2007,8,23187 ,24001 ,15206 
2007,9,25431 ,22749 ,14531 
2007,10,27724 ,31706 ,17037 
2007,11,26604 ,38859 ,18478 
2007,12,25170 ,39936 ,21586 
2008,1,22480 ,38770 ,25058 
2008,2,22494 ,33054 ,26766 
2008,3,24497 ,30952 ,27492 
2008,4,27273 ,39254 ,31049 
2008,5,27194 ,37753 ,25137 
2008,6,29605 ,45325 ,25196 
2008,7,29669 ,42655 ,23935 
2008,8,31445 ,38304 ,26411 
2008,9,30496 ,38016 ,26523 
2008,10,26533 ,42942 ,21961 
2008,11,23499 ,39521 ,20518 
2008,12,23326 ,38305 ,19975 
2009,1,20057 ,31629 ,18433 
2009,2,20278 ,23652 ,17558 
2009,3,21295 ,27492 ,15911 
2009,4,22971 ,26262 ,14191 
2009,5,23139 ,25167 ,13066 
2009,6,26494 ,27920 ,12604 
2009,7,26045 ,27278 ,11941 
2009,8,25147 ,22141 ,12270 
2009,9,24501 ,23179 ,12627 
2009,10,25227 ,27638 ,13048 
2009,11,25441 ,29508 ,12677 
2009,12,24036 ,29604 ,14510 
2010,1,21144 ,27040 ,16276 
2010,2,20867 ,21671 ,13069 
2010,3,21981 ,24055 ,17311 
2010,4,23496 ,24425 ,18083 
2010,5,24243 ,21759 ,13173 
2010,6,27656 ,24871 ,15705 
2010,7,27180 ,25698 ,15201 
2010,8,29036 ,25841 ,16588 
2010,9,27670 ,23696 ,20067 
2010,10,27842 ,25140 ,17894 
2010,11,27235 ,26703 ,18549 
2010,12,26871 ,27115 ,19972 
2011,1,22299 ,23989 ,19903 
2011,2,22126 ,20840 ,18844 
2011,3,22863 ,21763 ,18104 
2011,4,23554 ,22163 ,20323 
2011,5,23528 ,20695 ,18822 
2011,6,26931 ,26121 ,19090 
2011,7,32382 ,30464 ,20244 
2011,8,31039 ,28372 ,21763 
2011,9,24978 ,19395 ,18524 
2011,10,25581 ,22904 ,18446 
2011,11,25849 ,24446 ,20985 
2011,12,24496 ,24680 ,19523 
2012,1,21687 ,24256 ,19813 
2012,2,22462 ,22798 ,21308 
2012,3,22335 ,23468 ,20245 
2012,4,24137 ,25823 ,22969 
2012,5,25468 ,23853 ,19644 
2012,6,26971 ,26976 ,17724 
2012,7,28338 ,25982 ,20482 
2012,8,28208 ,27616 ,21228 
2012,9,28125 ,26253 ,19410 
